id,GSM300166,GSM300167,GSM300168,GSM300169,GSM300170,GSM300171,GSM300172,GSM300173,GSM300174,GSM300175,GSM300176,GSM300177,GSM300178,GSM300179,GSM300180,GSM300181,GSM300182,GSM300183,GSM300185,GSM300186,GSM300187,GSM300188,GSM300189,GSM300190,GSM300191,GSM300192,GSM300193,GSM300194,GSM300195,GSM300196,GSM300197,GSM300198,GSM300199,GSM300200,GSM300201,GSM300202,GSM300203,GSM300204,GSM300205,GSM300206,GSM300207,GSM300208,GSM300209,GSM300210,GSM300211,GSM300212,GSM300213,GSM300214,GSM300215,GSM300216,GSM300217,GSM300218,GSM300219,GSM300220,GSM300221,GSM300222,GSM300223,GSM300224,GSM300225,GSM300226,GSM300227,GSM300228,GSM300229,GSM300230,GSM300231,GSM300232,GSM300233,GSM300234,GSM300235,GSM300236,GSM300237,GSM300238,GSM300239,GSM300240,GSM300241,GSM300242,GSM300243,GSM300244,GSM300245,GSM300246,GSM300247,GSM300248,GSM300249,GSM300250,GSM300251,GSM300252,GSM300253,GSM300254,GSM300255,GSM300256,GSM300258,GSM300259,GSM300260,GSM300261,GSM300262,GSM300263,GSM300264,GSM300265,GSM300266,GSM300267,GSM300268,GSM300269,GSM300270,GSM300271,GSM300272,GSM300273,GSM300274,GSM300275,GSM300276,GSM300277,GSM300278,GSM300279,GSM300280,GSM300281,GSM300282,GSM300283,GSM300284,GSM300285,GSM300286,GSM300287,GSM300288,GSM300289,GSM300290,GSM300291,GSM300292,GSM300293,GSM300294,GSM300295,GSM300296,GSM300297,GSM300298,GSM300299,GSM300300,GSM300301,GSM300302,GSM300303,GSM300304,GSM300305,GSM300306,GSM300307,GSM300308,GSM300309,GSM300310,GSM300311,GSM300312,GSM300313,GSM300314,GSM300315,GSM300316,GSM300317,GSM300318,GSM300319,GSM300320,GSM300321,GSM300322,GSM300323,GSM300324,GSM300325,GSM300326,GSM300327,GSM300328,GSM300329,GSM300330,GSM300331,GSM300332,GSM300333,GSM300335,GSM300338,GSM300339,GSM300340,GSM300341,GSM318840,GSM350078
1007_s_at,0.001772205,0.001151259,0.003265578,0.011362438,0.003901016,0.000560846,0.000620159,0.048541921,0.003934557,0.02737772,0.015427369,0.021052719,0.010935962,0.022800811,0.026082141,0.029495456,0.02555379,0.025003608,0.003049522,0.004487066,0.003553055,0.002891381,0.003113828,0.001915493,0.003154951,0.005666584,0.004303627,0.003464388,0.003911564,0.001313191,0.001492478,0.000926631,0.001121757,0.002552104,0.003298813,0.004061567,0.003326147,0.044323953,0.012100527,0.011219377,0.01553868,0.010086155,0.007893717,0.047824046,0.021445733,0.002455203,0.002962783,0.033871836,0.016218933,0.031151711,0.001786913,0.005121874,0.004314417,0.003634608,0.005993459,0.005638419,0.004439982,0.004194784,0.005052462,0.003466271,0.00147473,0.003961808,0.002540211,0.005193862,0.003969889,0.002943927,0.006292883,0.053968287,0.013510798,0.04138197,0.025838432,0.004451236,0.003201076,0.004499478,0.005703806,0.004628609,0.003049037,0.00492089,0.002197909,0.054989785,0.005255196,0.000657444,0.002137865,0.043416614,0.003550978,0.008873753,0.030287939,0.033425888,0.005339948,0.004867214,0.035383228,0.022558742,0.052765725,0.004259732,0.007805766,0.036358884,0.05561129,0.028637277,0.061344272,0.015674464,0.045033632,0.019817487,0.028374268,0.004555896,0.000602523,0.002711265,0.006205441,0.012290629,0.00172708,0.036313909,0.013258008,0.02501983,0.01141772,0.026038501,0.021764941,0.002211461,0.002052036,0.027258191,0.010445629,0.004310672,0.030026967,0.006120101,0.003092858,0.004311761,0.005904512,0.007061005,0.004552927,0.004210376,0.007676437,0.007468588,0.00493319,0.006539018,0.005424357,0.00067556,0.006096168,0.033801799,0.022283354,0.000942839,0.004830585,0.033310601,0.018059216,0.006858717,0.053889869,0.036725603,0.02328483,0.006611072,0.034778789,0.042674436,0.024391484,0.005498378,0.008309631,0.017169555,0.006972344,0.004627842,0.004928323,0.004070089,0.051004139,0.029134262,0.009845991,0.02917997,0.00509808,0.004584457,0.003798965,0.005259901,0.04094044,0.012454742,0.00510997,0.005442338,0.005697794,0.00322848,0.005529434,0.002858845,0.007243819
1053_at,0.002325742,0.001352984,0.009245518,0.026505589,0.009264851,0.001754572,0.000925962,0.108662534,0.008427711,0.078640199,0.036950156,0.044222194,0.016357352,0.063214607,0.0458795,0.04503448,0.037422663,0.048911992,0.007679684,0.003750028,0.003709426,0.004061048,0.003402001,0.002095275,0.00472751,0.013405996,0.005723196,0.00785746,0.006375649,0.002982001,0.003939582,0.002598862,0.002227142,0.004722332,0.005452242,0.004066096,0.00461729,0.102506575,0.029778952,0.029320209,0.050538986,0.014305009,0.01297116,0.111045291,0.070548689,0.00267184,0.003410598,0.049809771,0.02190192,0.052318736,0.003381349,0.013093048,0.007059553,0.008976074,0.016268371,0.01197249,0.006869611,0.008660393,0.010151774,0.004595512,0.003163244,0.003872421,0.004147637,0.011357183,0.006568972,0.005185228,0.013391803,0.100893476,0.020043596,0.085008842,0.056038914,0.009321191,0.005870993,0.011139163,0.01435122,0.012860753,0.004614055,0.017664421,0.005414059,0.204346976,0.013778571,0.000614358,0.002483604,0.04151078,0.003617268,0.009181471,0.112299257,0.116796341,0.004501711,0.00568681,0.114442622,0.094841933,0.158196344,0.005276634,0.010460808,0.102184088,0.134307917,0.091756281,0.183442743,0.016975771,0.069435431,0.047746498,0.059995444,0.011236082,0.000645195,0.005011072,0.014800472,0.032892863,0.004251716,0.156469201,0.049917275,0.061932264,0.022738344,0.085380221,0.060986032,0.003013917,0.00222844,0.05258733,0.016708686,0.004559443,0.040250611,0.01796917,0.006560042,0.016775936,0.020086524,0.018553334,0.014029901,0.014248087,0.024007552,0.023316189,0.014509044,0.025110019,0.007765616,0.000631263,0.010836866,0.091683279,0.066856268,0.001288669,0.016100858,0.116658114,0.029033991,0.017947299,0.182740121,0.077171789,0.040916105,0.01621015,0.124447103,0.134884667,0.065587484,0.015831611,0.03379102,0.054906258,0.016847445,0.008765963,0.016814512,0.010318635,0.083945294,0.034378387,0.016208688,0.051133033,0.007990356,0.007080756,0.008415161,0.012011769,0.052913857,0.016893895,0.011162516,0.010762434,0.0092686,0.006751789,0.012465672,0.003868237,0.012893466
117_at,0.003091474,0.002038568,0.011341293,0.040821883,0.013913441,0.001761061,0.001665897,0.092469202,0.007964303,0.054021539,0.02672533,0.041559418,0.023887983,0.045294478,0.052152881,0.059429381,0.052897921,0.047335232,0.010913569,0.008851613,0.008455031,0.005705364,0.006505517,0.004455063,0.00611562,0.010449465,0.009965671,0.006952713,0.007475829,0.002476279,0.002943733,0.001767878,0.002214069,0.005406452,0.006439562,0.008007573,0.006246914,0.079493784,0.023277591,0.020906902,0.031263818,0.021138266,0.015289183,0.091589481,0.038398646,0.005934764,0.005530594,0.067597007,0.036053124,0.06008332,0.00330949,0.009018956,0.00916903,0.007279638,0.010274773,0.010007859,0.009893948,0.007543975,0.009051271,0.007411835,0.005320206,0.007337581,0.004777444,0.009533019,0.008310782,0.006110013,0.011072682,0.103668273,0.027928342,0.081475583,0.045378902,0.009033985,0.006947602,0.008697932,0.010189243,0.007960278,0.007614045,0.009284282,0.003698793,0.106362701,0.008997064,0.00124501,0.004457844,0.074715666,0.0069282,0.019127921,0.05732441,0.055565641,0.009491685,0.009313434,0.060628237,0.041727743,0.083254507,0.00837397,0.013778928,0.069852698,0.094390477,0.054630728,0.100975238,0.031836281,0.091384291,0.039550646,0.048304767,0.008279688,0.001238792,0.005786266,0.01020644,0.022969637,0.003627003,0.067325547,0.021558712,0.043948315,0.023646687,0.050459955,0.034790606,0.004467398,0.003907285,0.057263792,0.022264487,0.006110919,0.058091166,0.010633668,0.006719923,0.008293683,0.009745609,0.013094879,0.008705669,0.008158295,0.012499529,0.012508636,0.009488441,0.011683855,0.010718691,0.000973099,0.012468543,0.060395095,0.038966231,0.002116962,0.009432264,0.05993645,0.035171609,0.014081834,0.103410957,0.071643002,0.042816369,0.013319936,0.064886925,0.071628775,0.042594948,0.01156417,0.015521162,0.029473051,0.012357835,0.008988406,0.009406125,0.007123387,0.102895427,0.060774584,0.024871277,0.056970377,0.009887954,0.009736472,0.007520229,0.00974933,0.081652939,0.027021063,0.009722083,0.009762093,0.011393012,0.006449373,0.009632947,0.005717398,0.014498584
