id,GSM300166,GSM300167,GSM300168,GSM300169,GSM300170,GSM300171,GSM300172,GSM300173,GSM300174,GSM300175,GSM300176,GSM300177,GSM300178,GSM300179,GSM300180,GSM300181,GSM300182,GSM300183,GSM300185,GSM300186,GSM300187,GSM300188,GSM300189,GSM300190,GSM300191,GSM300192,GSM300193,GSM300194,GSM300195,GSM300196,GSM300197,GSM300198,GSM300199,GSM300200,GSM300201,GSM300202,GSM300203,GSM300204,GSM300205,GSM300206,GSM300207,GSM300208,GSM300209,GSM300210,GSM300211,GSM300212,GSM300213,GSM300214,GSM300215,GSM300216,GSM300217,GSM300218,GSM300219,GSM300220,GSM300221,GSM300222,GSM300223,GSM300224,GSM300225,GSM300226,GSM300227,GSM300228,GSM300229,GSM300230,GSM300231,GSM300232,GSM300233,GSM300234,GSM300235,GSM300236,GSM300237,GSM300238,GSM300239,GSM300240,GSM300241,GSM300242,GSM300243,GSM300244,GSM300245,GSM300246,GSM300247,GSM300248,GSM300249,GSM300250,GSM300251,GSM300252,GSM300253,GSM300254,GSM300255,GSM300256,GSM300258,GSM300259,GSM300260,GSM300261,GSM300262,GSM300263,GSM300264,GSM300265,GSM300266,GSM300267,GSM300268,GSM300269,GSM300270,GSM300271,GSM300272,GSM300273,GSM300274,GSM300275,GSM300276,GSM300277,GSM300278,GSM300279,GSM300280,GSM300281,GSM300282,GSM300283,GSM300284,GSM300285,GSM300286,GSM300287,GSM300288,GSM300289,GSM300290,GSM300291,GSM300292,GSM300293,GSM300294,GSM300295,GSM300296,GSM300297,GSM300298,GSM300299,GSM300300,GSM300301,GSM300302,GSM300303,GSM300304,GSM300305,GSM300306,GSM300307,GSM300308,GSM300309,GSM300310,GSM300311,GSM300312,GSM300313,GSM300314,GSM300315,GSM300316,GSM300317,GSM300318,GSM300319,GSM300320,GSM300321,GSM300322,GSM300323,GSM300324,GSM300325,GSM300326,GSM300327,GSM300328,GSM300329,GSM300330,GSM300331,GSM300332,GSM300333,GSM300335,GSM300338,GSM300339,GSM300340,GSM300341,GSM318840,GSM350078
1007_s_at,0.003300192,0.002523994,0.017862607,0.066464825,0.023195628,0.002910492,0.002766858,0.085676972,0.009074683,0.044025555,0.022315356,0.043937287,0.03588091,0.043901368,0.061334056,0.077946853,0.069633556,0.047301789,0.017643698,0.014350569,0.014007041,0.00649521,0.010117924,0.007443906,0.006460935,0.01033598,0.016916559,0.006802295,0.008141742,0.002979138,0.003562428,0.001712293,0.002389768,0.006216178,0.007219373,0.011474752,0.007059459,0.076661369,0.024128153,0.018777276,0.028276201,0.0318739,0.01648826,0.086310511,0.027737977,0.009924289,0.007058613,0.087590199,0.05642433,0.067070146,0.003617185,0.008476831,0.012612966,0.007803556,0.00851128,0.010013578,0.015064265,0.006895717,0.008572916,0.010498859,0.00909486,0.010289696,0.004753766,0.010227406,0.01102629,0.007342135,0.01038611,0.122418648,0.040608483,0.096533113,0.044018768,0.011951333,0.010836205,0.009237737,0.009640685,0.006831855,0.012885693,0.007189087,0.003305677,0.085948031,0.007263455,0.002156482,0.005883954,0.085320181,0.009731277,0.032667228,0.046793936,0.036252961,0.013975381,0.0109789,0.044288443,0.029458344,0.053457436,0.01224659,0.017262664,0.060492571,0.078621002,0.049715601,0.073200153,0.049254141,0.120332121,0.039311433,0.040973582,0.00781302,0.001940394,0.006492239,0.00776119,0.022280271,0.004761654,0.045067742,0.012568022,0.039810302,0.030222097,0.042309113,0.02303996,0.005608589,0.005083313,0.071251686,0.030979885,0.006642613,0.079800527,0.008728027,0.009229609,0.006229946,0.006211472,0.012897237,0.007662658,0.0070666,0.008400725,0.009490582,0.008550988,0.008538721,0.013971873,0.001572985,0.013163323,0.048285268,0.032540797,0.003267862,0.00771493,0.045207557,0.045716962,0.016418931,0.087784872,0.085175736,0.050990207,0.015094352,0.05030208,0.048738725,0.037437028,0.013577613,0.01098795,0.0218012,0.011900992,0.011148779,0.007295378,0.006507907,0.137038355,0.092186554,0.040907429,0.062121376,0.013239759,0.01444798,0.007215256,0.009504108,0.114862492,0.040993524,0.009549981,0.010607572,0.015350131,0.00699914,0.00879538,0.007445809,0.014616701
1053_at,0.002419808,0.001479799,0.009873086,0.030584709,0.010573769,0.001641929,0.00109451,0.103936841,0.008170061,0.071537541,0.032892079,0.043182589,0.017597056,0.054208443,0.047908814,0.047874874,0.040816363,0.04785512,0.008594072,0.004482177,0.004587109,0.004573821,0.003817361,0.002423945,0.005089232,0.011724767,0.006376415,0.007540142,0.006668067,0.002637923,0.003371888,0.002205397,0.002166973,0.004879038,0.00575424,0.004623054,0.005000999,0.089817237,0.026146503,0.025381521,0.042632425,0.015386408,0.01368932,0.103742047,0.057052313,0.003256347,0.003678195,0.05302126,0.024478759,0.053330577,0.003261863,0.010951686,0.007391749,0.008123371,0.013826269,0.01094193,0.007277886,0.008110885,0.009772506,0.005107329,0.003661136,0.004319134,0.004342876,0.010146187,0.006818363,0.005351748,0.012314836,0.094652068,0.02136411,0.080942508,0.050838332,0.008779849,0.005687048,0.009718803,0.012500224,0.010460012,0.005065615,0.013857674,0.004541158,0.161795786,0.011786318,0.000707753,0.002846785,0.046572801,0.004182872,0.0103903,0.087322783,0.089449892,0.005181917,0.006283708,0.09063746,0.07090474,0.126026999,0.005556975,0.011242041,0.088768934,0.117129836,0.073831019,0.146271322,0.019034431,0.07344982,0.044829333,0.055837517,0.00979452,0.000728296,0.005201655,0.012861996,0.028677145,0.003782234,0.114843992,0.036741308,0.05349238,0.022279257,0.071147424,0.049575366,0.003245062,0.002539063,0.05326041,0.017867474,0.004694666,0.04286114,0.014538871,0.006154365,0.013053828,0.015431558,0.016093866,0.01168973,0.011466645,0.018854083,0.018031947,0.012294341,0.019011874,0.00826819,0.000615696,0.011320021,0.080581742,0.053421749,0.001458694,0.01348761,0.092358098,0.029120719,0.016045177,0.147808789,0.07358361,0.039899836,0.014781125,0.097858863,0.108807993,0.054176784,0.013852882,0.025400767,0.043742764,0.014743006,0.008442192,0.0137012,0.008824433,0.085975949,0.038669836,0.017464489,0.052553651,0.008114324,0.007459672,0.008103179,0.011189545,0.056820587,0.018556064,0.01076309,0.009999014,0.009453576,0.006519737,0.011257501,0.004122395,0.013706582
117_at,0.00465009,0.002545497,0.01122679,0.018920183,0.006435712,0.002341132,0.001242055,0.117942826,0.009019496,0.093852968,0.046993733,0.046897178,0.014639727,0.086742215,0.043009804,0.039791662,0.031138176,0.052755698,0.00557094,0.006367942,0.006709888,0.005746718,0.006861635,0.003967233,0.006509266,0.017947052,0.008414526,0.012614426,0.009070229,0.003743828,0.005145328,0.003775875,0.003097786,0.00802292,0.008063029,0.007028883,0.006988997,0.136092356,0.039687186,0.039907973,0.071016267,0.012689134,0.011090894,0.127620856,0.105386653,0.005492679,0.003877861,0.046487186,0.018555363,0.052517372,0.004312245,0.022425352,0.0104259,0.015398245,0.026384094,0.018521652,0.010295791,0.014667861,0.015283814,0.007103603,0.004254766,0.007015168,0.006835411,0.018097717,0.009846159,0.009269578,0.020242973,0.119646398,0.018300672,0.096476283,0.070484298,0.014186857,0.009172712,0.01874759,0.022873796,0.022454299,0.008101222,0.031937268,0.009674088,0.316756501,0.019537656,0.001031529,0.005235106,0.036985216,0.006113382,0.008556295,0.179589367,0.192847555,0.006957907,0.005170933,0.173858491,0.158048986,0.240544214,0.005978451,0.009095211,0.135279178,0.180308966,0.139179691,0.281947562,0.014748397,0.064941449,0.055585833,0.070974659,0.018580628,0.001124596,0.007890142,0.024264782,0.042835349,0.005451255,0.268591808,0.086340212,0.083375116,0.024317112,0.121754594,0.090714101,0.00536268,0.004097981,0.051246765,0.01443013,0.00727032,0.04169527,0.030626342,0.011488779,0.030834994,0.036517591,0.027848233,0.023761509,0.026117598,0.042075467,0.041138334,0.023838788,0.045316107,0.010473293,0.000924832,0.009868636,0.116897863,0.101905074,0.001086959,0.022495821,0.181380162,0.030698369,0.022241899,0.273646812,0.08896737,0.044435615,0.019230597,0.196822082,0.202463112,0.095536465,0.020094481,0.056551404,0.084920488,0.025743374,0.013249292,0.028813858,0.018122524,0.081682839,0.029221078,0.015170994,0.049397057,0.012179239,0.010499577,0.013436092,0.017518411,0.048951532,0.01439314,0.012027908,0.016425514,0.013019531,0.011456814,0.020032418,0.007117744,0.01148141
121_at,0.003040263,0.001927853,0.009570976,0.034787432,0.011715691,0.001463539,0.001409014,0.092679234,0.007622362,0.054490264,0.027220003,0.040590647,0.021358223,0.044793245,0.049899471,0.055651665,0.049651484,0.047139609,0.009298458,0.007797847,0.007264141,0.005511493,0.005736377,0.003823551,0.006047332,0.010369794,0.008403277,0.00677723,0.007265684,0.002334547,0.002749467,0.00173451,0.002149313,0.005117136,0.006182685,0.007379508,0.006063915,0.079340107,0.022773948,0.0210105,0.030812351,0.01889133,0.015101681,0.091456516,0.039315007,0.005049076,0.005330815,0.063741703,0.031826578,0.058848156,0.003217745,0.008889113,0.008314571,0.006915244,0.010258498,0.009791558,0.008680985,0.007511157,0.00894975,0.006740293,0.004407225,0.00681185,0.004723049,0.009197035,0.00762388,0.005711551,0.010998091,0.099992554,0.025262718,0.077459841,0.045145536,0.008180201,0.005990329,0.008347402,0.009979845,0.007929339,0.006347583,0.009257485,0.003673961,0.10605264,0.009149558,0.001046811,0.004155517,0.075360201,0.006396626,0.016553181,0.057119605,0.057325443,0.008725578,0.009217429,0.062123298,0.042153952,0.087049592,0.007659005,0.013105244,0.070289884,0.096182257,0.054096361,0.1039949,0.028690491,0.085404677,0.038859971,0.049331755,0.008138479,0.001092903,0.005537416,0.010444996,0.022542569,0.003311419,0.068749911,0.022512312,0.044119187,0.021986436,0.050389524,0.036482014,0.004219119,0.003678461,0.053793202,0.020383904,0.006071507,0.053885434,0.010652081,0.005997531,0.008224741,0.010011414,0.012734577,0.008554968,0.007973155,0.01283899,0.012701992,0.009325438,0.011683081,0.010008597,0.00085571,0.012363941,0.061365317,0.039350896,0.001875636,0.009449119,0.060507942,0.033034392,0.013259307,0.103018847,0.067585623,0.040945396,0.01269295,0.065401423,0.073892879,0.042922294,0.010794167,0.015762638,0.030071812,0.012124045,0.008364373,0.009390272,0.006994376,0.095559895,0.054864525,0.021362941,0.055912837,0.009062384,0.008605134,0.007377622,0.009519575,0.075648157,0.024228855,0.009613489,0.009410706,0.010433965,0.006153703,0.00953769,0.005339312,0.014453454
1255_g_at,0.00175395,0.00114088,0.00318821,0.01108405,0.003789632,0.000533961,0.000610774,0.048047923,0.003889524,0.027085191,0.015270009,0.020820994,0.010777797,0.022522941,0.025771754,0.029170599,0.02525699,0.024746497,0.00298001,0.0044255,0.003505344,0.002856488,0.003069317,0.001884852,0.003113591,0.005599084,0.004223734,0.003425893,0.003862326,0.001300723,0.001474099,0.000914479,0.001104797,0.002520883,0.003258238,0.003996027,0.003284238,0.043848808,0.011962164,0.011088245,0.015328417,0.009973676,0.007806483,0.04731074,0.02121888,0.002423877,0.002911897,0.03347576,0.01601902,0.03078277,0.001755055,0.005050307,0.004251183,0.003583632,0.005902049,0.005571166,0.004367334,0.004141336,0.004984699,0.00341238,0.001433727,0.003897629,0.002505731,0.005132109,0.003925116,0.002911033,0.006208878,0.053250249,0.013271152,0.040861139,0.025545903,0.004390847,0.003135482,0.004440512,0.005629746,0.004583824,0.003015455,0.004871769,0.002162994,0.054431616,0.005191562,0.000651347,0.002109887,0.042750024,0.003502621,0.008711686,0.029979414,0.033069873,0.005266252,0.004800756,0.035006719,0.022327111,0.052186655,0.004198961,0.007719596,0.035957799,0.055005501,0.028338306,0.060713294,0.015461593,0.044542871,0.01961247,0.028068895,0.004511195,0.000595391,0.002683091,0.006139831,0.012169137,0.001712911,0.035931012,0.013123578,0.02474982,0.011303436,0.025744776,0.021534435,0.002179768,0.00202297,0.026913847,0.01028628,0.004267233,0.02962626,0.006062357,0.003064834,0.004272068,0.005849088,0.006986416,0.004508037,0.004167247,0.007600199,0.007397289,0.004886132,0.006476243,0.005356132,0.000670817,0.006021332,0.033423525,0.022058583,0.000929955,0.004774378,0.032965859,0.017852995,0.006760573,0.053317636,0.036346706,0.023042739,0.006528873,0.034421041,0.042231853,0.024127666,0.005428819,0.008223458,0.016996726,0.006904573,0.00457013,0.004880675,0.004030341,0.050415453,0.028762819,0.00968728,0.028777901,0.00503857,0.004512624,0.003755451,0.00520386,0.040402545,0.012280408,0.005052762,0.005375895,0.005611947,0.003190568,0.005466553,0.002800517,0.007161281
