id,GSM300166,GSM300167,GSM300168,GSM300169,GSM300170,GSM300171,GSM300172,GSM300173,GSM300174,GSM300175,GSM300176,GSM300177,GSM300178,GSM300179,GSM300180,GSM300181,GSM300182,GSM300183,GSM300185,GSM300186,GSM300187,GSM300188,GSM300189,GSM300190,GSM300191,GSM300192,GSM300193,GSM300194,GSM300195,GSM300196,GSM300197,GSM300198,GSM300199,GSM300200,GSM300201,GSM300202,GSM300203,GSM300204,GSM300205,GSM300206,GSM300207,GSM300208,GSM300209,GSM300210,GSM300211,GSM300212,GSM300213,GSM300214,GSM300215,GSM300216,GSM300217,GSM300218,GSM300219,GSM300220,GSM300221,GSM300222,GSM300223,GSM300224,GSM300225,GSM300226,GSM300227,GSM300228,GSM300229,GSM300230,GSM300231,GSM300232,GSM300233,GSM300234,GSM300235,GSM300236,GSM300237,GSM300238,GSM300239,GSM300240,GSM300241,GSM300242,GSM300243,GSM300244,GSM300245,GSM300246,GSM300247,GSM300248,GSM300249,GSM300250,GSM300251,GSM300252,GSM300253,GSM300254,GSM300255,GSM300256,GSM300258,GSM300259,GSM300260,GSM300261,GSM300262,GSM300263,GSM300264,GSM300265,GSM300266,GSM300267,GSM300268,GSM300269,GSM300270,GSM300271,GSM300272,GSM300273,GSM300274,GSM300275,GSM300276,GSM300277,GSM300278,GSM300279,GSM300280,GSM300281,GSM300282,GSM300283,GSM300284,GSM300285,GSM300286,GSM300287,GSM300288,GSM300289,GSM300290,GSM300291,GSM300292,GSM300293,GSM300294,GSM300295,GSM300296,GSM300297,GSM300298,GSM300299,GSM300300,GSM300301,GSM300302,GSM300303,GSM300304,GSM300305,GSM300306,GSM300307,GSM300308,GSM300309,GSM300310,GSM300311,GSM300312,GSM300313,GSM300314,GSM300315,GSM300316,GSM300317,GSM300318,GSM300319,GSM300320,GSM300321,GSM300322,GSM300323,GSM300324,GSM300325,GSM300326,GSM300327,GSM300328,GSM300329,GSM300330,GSM300331,GSM300332,GSM300333,GSM300335,GSM300338,GSM300339,GSM300340,GSM300341,GSM318840,GSM350078
1007_s_at,0.003426524,0.00245143,0.015576572,0.057576944,0.0197612,0.002470566,0.002387607,0.090050357,0.008614178,0.047209395,0.023351169,0.043752996,0.031295793,0.044408043,0.057679231,0.071638599,0.064035237,0.047359906,0.0150861,0.012538511,0.012340718,0.006480249,0.009173045,0.006549198,0.006674337,0.010418419,0.014393534,0.007088168,0.008128891,0.00277199,0.003296086,0.001758988,0.002420805,0.006150294,0.007115147,0.010465837,0.007002794,0.078016578,0.023612274,0.019410667,0.028440123,0.027641367,0.016349809,0.087424087,0.030533643,0.00859761,0.006683401,0.082257693,0.04865903,0.065253694,0.003520108,0.008898175,0.011505464,0.007787798,0.009036205,0.010149756,0.013311177,0.007324196,0.008857752,0.009590111,0.007833608,0.009532703,0.005012325,0.010179756,0.010211308,0.007222965,0.010718846,0.115976464,0.035495114,0.089547405,0.043208488,0.010926942,0.009328655,0.009148632,0.009693305,0.007355999,0.011024135,0.007978605,0.003462178,0.09038716,0.007646815,0.001832502,0.005656505,0.083772155,0.008872513,0.027672979,0.048290532,0.040373572,0.012865669,0.010742713,0.048902324,0.032000744,0.060402285,0.010926089,0.016159719,0.063148233,0.081473215,0.050158886,0.079414471,0.043477129,0.109885469,0.03930683,0.042667933,0.008244901,0.001714326,0.006547444,0.008652273,0.022150424,0.004272511,0.051232165,0.014760759,0.041346535,0.02728105,0.044001069,0.026019219,0.005460322,0.004835054,0.066674112,0.027647089,0.006764177,0.071163143,0.009511179,0.008391027,0.006993255,0.007335793,0.012963251,0.008165034,0.007517507,0.009604168,0.010619933,0.009029495,0.009408089,0.013177976,0.001334184,0.013322974,0.051166324,0.034548194,0.002813375,0.008144979,0.048237365,0.042346411,0.015286482,0.090249026,0.077618469,0.047434799,0.014234746,0.053541206,0.05432189,0.038862776,0.012572811,0.012152105,0.023325045,0.012146588,0.010439088,0.008065651,0.006690567,0.125110478,0.080962342,0.034578622,0.060565002,0.012160722,0.012875178,0.007585371,0.009549519,0.103401545,0.036005292,0.009476051,0.010431055,0.014004345,0.00697241,0.009097667,0.007165054,0.014825732
1053_at,0.001783303,0.00115498,0.003235775,0.011242928,0.003854741,0.000554101,0.000614264,0.04888608,0.00395556,0.027546038,0.015521752,0.021168029,0.010964499,0.022912637,0.026162613,0.029688694,0.02572123,0.025195434,0.003031086,0.004505704,0.003567583,0.002902325,0.003119998,0.001915141,0.00316353,0.005697276,0.00428902,0.003482037,0.003920529,0.001323925,0.001503432,0.000932361,0.001125404,0.002561273,0.00330849,0.004072459,0.003336479,0.044638611,0.012184507,0.011289636,0.015599533,0.010154882,0.007950044,0.048182263,0.021558079,0.002468308,0.002966591,0.034047507,0.016279649,0.031329647,0.001790905,0.005148982,0.004328321,0.003647678,0.006016264,0.005664566,0.004452777,0.004220104,0.005065731,0.003473522,0.00147472,0.003973271,0.002552331,0.005218675,0.00398735,0.002955043,0.006310244,0.054294157,0.013496385,0.041617261,0.025962915,0.004460231,0.003206533,0.004522702,0.005729513,0.004662096,0.003065589,0.004949133,0.002200835,0.055307495,0.00528005,0.000656929,0.002146788,0.043629378,0.003569045,0.00887148,0.030490795,0.033622509,0.005349415,0.004893822,0.035657122,0.022700095,0.05304365,0.004269391,0.007870323,0.036579867,0.055948518,0.028826838,0.061680858,0.015719429,0.045272483,0.019922605,0.028526046,0.004587248,0.000604748,0.002727109,0.006241074,0.012380666,0.001734631,0.036532268,0.013330758,0.025187132,0.011492926,0.026189842,0.021903229,0.002218724,0.002056555,0.027359388,0.010459106,0.004322084,0.030123534,0.006164524,0.003113975,0.004337485,0.005935776,0.007111195,0.004581332,0.004236812,0.007724009,0.00752086,0.004965007,0.006569479,0.005439907,0.000691661,0.006127518,0.033957618,0.022434056,0.000945201,0.004853208,0.033462869,0.018158758,0.006864558,0.05422926,0.036922204,0.023458789,0.006638254,0.035000203,0.042872848,0.024580673,0.005503014,0.008356318,0.017266742,0.007020549,0.004636348,0.004959719,0.004093246,0.051286797,0.029267233,0.009868177,0.029272459,0.005123507,0.004589076,0.003819228,0.005281835,0.041145312,0.012488108,0.005131927,0.005469629,0.00570986,0.00324446,0.005550572,0.00286154,0.00728313
117_at,0.002295668,0.001269476,0.008585287,0.023295179,0.008162657,0.001885098,0.000794302,0.113027575,0.008745815,0.084781054,0.040440414,0.045262554,0.015601927,0.071512982,0.044638736,0.042436793,0.03472798,0.050643415,0.006890807,0.003344982,0.003158484,0.003675212,0.003130375,0.001870661,0.004467961,0.014959828,0.005260356,0.008161419,0.006144426,0.003443531,0.004548087,0.003093679,0.002464466,0.004613649,0.0052424,0.003777044,0.004384299,0.11433237,0.032850639,0.032942447,0.057344956,0.013800724,0.012741983,0.117959317,0.082833138,0.002323179,0.003340704,0.048177787,0.020309107,0.052173849,0.003591174,0.014949011,0.006831282,0.009688581,0.018290759,0.012821084,0.006547529,0.009188816,0.010458819,0.004215809,0.00278186,0.003611853,0.003999456,0.012422264,0.006436787,0.005089547,0.014342357,0.107647491,0.019203565,0.088160963,0.060242244,0.009722456,0.006145919,0.012520362,0.015903209,0.015020346,0.004365816,0.021198625,0.006307206,0.243892751,0.015693114,0.000540998,0.002267132,0.039088357,0.003274402,0.008564059,0.135426226,0.141818421,0.004143275,0.005402758,0.13602208,0.11704707,0.186395162,0.005189008,0.009956254,0.114239732,0.149508119,0.108557019,0.216962248,0.015809884,0.067153618,0.050850689,0.063672612,0.012524252,0.0006037,0.004941637,0.016591309,0.036285806,0.004826849,0.195578292,0.062114463,0.069926017,0.02338154,0.099234949,0.07160635,0.00289652,0.002019106,0.051768671,0.015955334,0.004577392,0.038566601,0.021050951,0.00704662,0.020171078,0.024313688,0.020606671,0.016203057,0.016835901,0.028651095,0.028085324,0.016492104,0.030606181,0.007421043,0.000656803,0.010540987,0.101222781,0.07900434,0.001205349,0.018428479,0.13874381,0.02927522,0.019727212,0.214684147,0.080984571,0.041796268,0.017581193,0.148773638,0.15752729,0.076234172,0.017649874,0.041442906,0.065039462,0.0184265,0.009086852,0.01954576,0.011629513,0.082802149,0.032088122,0.015508521,0.050211651,0.007892697,0.006830741,0.008708358,0.012713405,0.050413148,0.015837014,0.011465738,0.011445628,0.009247229,0.007028588,0.013581446,0.003825804,0.012322544
121_at,0.002875971,0.001800649,0.009347573,0.032441353,0.011018388,0.001436186,0.001292521,0.094696111,0.007693943,0.058824106,0.028873989,0.040764387,0.019977146,0.046620898,0.049301663,0.052904857,0.046772277,0.047342727,0.008852332,0.006773989,0.006336424,0.005252081,0.005057332,0.003327816,0.005774201,0.01059958,0.007655717,0.006955332,0.007117677,0.002346878,0.002820417,0.001803564,0.002104546,0.005028778,0.006076481,0.006582898,0.005790958,0.081199214,0.023450473,0.022031706,0.033710501,0.017647944,0.014636112,0.094666245,0.043774828,0.004478509,0.004837387,0.059601534,0.02928849,0.057133392,0.003208117,0.009278707,0.007960124,0.007149618,0.011202591,0.010053877,0.008124506,0.007702534,0.009225728,0.006223914,0.004041231,0.006068737,0.004634738,0.009318163,0.007319591,0.005542727,0.011373323,0.097345459,0.0239509,0.077947599,0.046987175,0.008183996,0.005763025,0.00859886,0.010658473,0.008479905,0.005836544,0.01031761,0.003886199,0.118933133,0.009873985,0.000931954,0.003765697,0.067945254,0.00579118,0.014473463,0.064303791,0.065708389,0.007565536,0.008379575,0.068821953,0.048925181,0.097822312,0.006964961,0.012448777,0.07477764,0.102508209,0.058516094,0.115172815,0.025397187,0.08137119,0.040172137,0.051617194,0.008448651,0.000976071,0.005387134,0.011166699,0.02393602,0.003344636,0.07913945,0.026091904,0.046040335,0.021887881,0.055325433,0.040164875,0.003906623,0.003363445,0.052760901,0.019450818,0.00567944,0.050825445,0.011524167,0.005912381,0.009345036,0.011389035,0.013465298,0.009239794,0.008768791,0.01442783,0.013904627,0.009975977,0.013434576,0.009391262,0.000770012,0.011982422,0.066592301,0.042388461,0.001739659,0.010416836,0.068398167,0.031390417,0.013756092,0.113702933,0.069176701,0.040493851,0.013062597,0.073226124,0.083161793,0.045394523,0.011353785,0.018010707,0.033645243,0.012718091,0.008300732,0.010439549,0.007492843,0.091366345,0.049569741,0.019823812,0.055012499,0.008709136,0.008122327,0.007554971,0.009992984,0.06956537,0.022196641,0.009950046,0.009496749,0.010045051,0.00622403,0.010041237,0.004913723,0.014280246
